junction_id,latitude,longitude,governorate,ways_count,tier,junction_idx
J_0246,30.0440961,31.3666589,Cairo,3,1,245
J_0247,30.0478927,31.3675123,Cairo,3,1,246
J_0248,30.0428439,31.3622055,Cairo,3,1,247
J_0249,30.0360421,31.3553627,Cairo,3,1,248
J_0250,29.9595449,31.2873599,Cairo,3,1,249
J_0251,30.086661,31.3409204,Cairo,3,1,250
J_0252,30.0874491,31.3331017,Cairo,3,1,251
J_0253,30.0922088,31.3441862,Cairo,3,1,252
J_0254,29.9780431,31.286186,Cairo,3,1,253
J_0255,29.9879167,31.3098087,Cairo,3,1,254
J_0256,30.0165141,31.4452535,Cairo,3,1,255
J_0257,29.9997697,31.4815996,Cairo,3,1,256
J_0258,30.0400829,31.5252562,Cairo,3,1,257
J_0259,30.0058024,31.4545413,Cairo,3,1,258
J_0260,30.1305565,31.3716692,Cairo,3,1,259
J_0261,30.058399,31.3023755,Cairo,3,1,260
J_0262,30.0598842,31.2441883,Cairo,3,1,261
J_0263,30.0652386,31.2444734,Cairo,3,1,262
J_0264,30.0547539,31.4777792,Cairo,3,1,263
J_0265,30.0709496,31.4523674,Cairo,3,1,264
J_0266,30.0708492,31.4523311,Cairo,3,1,265
J_0267,30.0678042,31.4511081,Cairo,3,1,266
J_0268,30.0677209,31.4510306,Cairo,3,1,267
J_0269,30.0376184,31.495522,Cairo,3,1,268
J_0270,30.0439512,31.5240556,Cairo,3,1,269
J_0271,30.0307543,31.2524133,Cairo,3,1,270
J_0272,29.8754598,31.3168295,Cairo,3,1,271
J_0273,30.1700043,31.4475205,Cairo,3,1,272
J_0274,30.1692933,31.4592235,Cairo,3,1,273
J_0275,30.1421197,31.4565511,Cairo,3,1,274
J_0276,30.1380021,31.3414075,Cairo,3,1,275
J_0277,29.8534651,31.3321656,Cairo,3,1,276
J_0278,29.8708535,31.3188055,Cairo,3,1,277
J_0279,29.8642428,31.3219289,Cairo,3,1,278
J_0280,30.1242375,31.4965872,Cairo,3,1,279
J_0281,30.1641744,31.494752,Cairo,3,1,280
J_0282,30.109182,31.545567,Cairo,3,1,281
J_0283,30.1462366,31.5503759,Cairo,3,1,282
J_0284,30.1363626,31.5733803,Cairo,3,1,283
J_0285,30.1090619,31.5456124,Cairo,3,1,284
J_0286,30.120002,31.4988381,Cairo,3,1,285
J_0287,30.03998,31.5251082,Cairo,3,1,286
J_0288,30.0963683,31.2619287,Cairo,3,1,287
J_0289,30.0532643,31.5325352,Cairo,3,1,288
J_0290,30.0843109,31.3274702,Cairo,3,1,289
J_0291,30.1043961,31.254342,Cairo,3,1,290
J_0292,30.0842283,31.2382735,Cairo,3,1,291
J_0293,30.0848783,31.3237401,Cairo,3,1,292
J_0294,30.0863342,31.322042,Cairo,3,1,293
J_0295,30.086264,31.3219487,Cairo,3,1,294
J_0296,30.0844053,31.3274098,Cairo,3,1,295
J_0297,30.0588122,31.3031569,Cairo,3,1,296
J_0298,30.1279121,31.2965907,Cairo,3,1,297
J_0299,30.0819304,31.2991932,Cairo,3,1,298
J_0300,30.0873243,31.3329746,Cairo,3,1,299
J_0301,30.1388327,31.396959,Cairo,3,1,300
J_0302,30.1081606,31.3265345,Cairo,3,1,301
J_0303,30.1422239,31.2733363,Cairo,3,1,302
J_0304,30.0455355,31.2670194,Cairo,3,1,303
J_0305,30.0467884,31.2716047,Cairo,3,1,304
J_0306,30.0480439,31.2732965,Cairo,3,1,305
J_0307,30.0470966,31.2587186,Cairo,3,1,306
J_0308,30.0511432,31.246985,Cairo,3,1,307
J_0309,30.0422637,31.231505,Cairo,3,1,308
J_0310,30.1142999,31.397538,Cairo,3,1,309
J_0311,30.1677556,31.4592091,Cairo,3,1,310
J_0312,30.0292007,31.2310135,Cairo,3,1,311
J_0313,30.0392789,31.2388334,Cairo,3,1,312
J_0314,30.0206991,31.2428418,Cairo,3,1,313
J_0315,30.0347667,31.2675867,Cairo,3,1,314
J_0316,30.0765063,31.3092572,Cairo,3,1,315
J_0317,30.0780037,31.3196839,Cairo,3,1,316
J_0318,30.1775678,31.5998431,Cairo,3,1,317
J_0319,30.169078,31.6019087,Cairo,3,1,318
J_0320,30.1775975,31.6000183,Cairo,3,1,319
J_0321,29.8971956,31.2460565,Cairo,3,1,320
J_0322,29.8825776,31.2726561,Cairo,3,1,321
J_0323,29.8916423,31.2705378,Cairo,3,1,322
J_0324,29.8735762,31.24702,Cairo,3,1,323
J_0325,30.1062988,31.3104866,Cairo,3,1,324
J_0326,29.9777647,31.2839958,Cairo,3,1,325
J_0327,30.0344466,31.2390698,Cairo,3,1,326
J_0328,29.9874111,31.2725171,Cairo,3,1,327
J_0329,30.0511184,31.2465372,Cairo,3,1,328
J_0330,30.025931,31.2622471,Cairo,3,1,329
J_0331,30.1045959,31.2566187,Cairo,3,1,330
J_0332,30.1078053,31.2574044,Cairo,3,1,331
J_0333,30.1521394,31.328599,Cairo,3,1,332
J_0334,30.1630171,31.3927868,Cairo,3,1,333
J_0335,30.0029279,31.4656933,Cairo,3,1,334
J_0336,30.0110159,31.4554239,Cairo,3,1,335
J_0337,30.2333413,31.2660203,Cairo,3,1,336
J_0338,30.1634794,31.6344425,Cairo,3,1,337
J_0339,30.1771812,31.6403467,Cairo,3,1,338
J_0340,30.1044755,31.3217378,Cairo,3,1,339
J_0341,30.1122565,31.3158596,Cairo,3,1,340
J_0342,30.1111064,31.3182591,Cairo,3,1,341
J_0343,30.06079,31.5027521,Cairo,3,1,342
J_0344,29.927525,31.5464163,Cairo,3,1,343
J_0345,29.9269712,31.5462206,Cairo,3,1,344
J_0346,29.9248271,31.5443812,Cairo,3,1,345
J_0347,29.9256673,31.5452699,Cairo,3,1,346
J_0348,30.0264011,31.442476,Cairo,3,1,347
J_0349,30.1705173,31.4596899,Cairo,3,1,348
J_0350,30.1702146,31.4752425,Cairo,3,1,349
J_0701,30.0284624,31.2158045,Giza,4,2,350
J_0702,30.0859926,31.2238672,Giza,4,2,351
J_0703,30.0751128,31.2221535,Giza,4,2,352
J_0704,29.9709627,31.1779976,Giza,4,2,353
J_0705,30.0947336,31.204047,Giza,4,2,354
J_0706,30.0303784,31.2124076,Giza,4,2,355
J_0707,30.2255417,31.1580214,Giza,4,2,356
J_0708,30.1857095,31.1412635,Giza,4,2,357
J_0709,29.9797571,31.1762194,Giza,4,2,358
J_0710,30.0826705,31.1932178,Giza,4,2,359
J_0711,29.9580741,31.2128576,Giza,4,2,360
J_0712,30.1775641,31.1173004,Giza,4,2,361
J_0713,29.9699586,31.2083658,Giza,4,2,362
J_0714,30.0605584,31.2084788,Giza,3,2,363
J_0715,30.069361,31.1964811,Giza,3,2,364
J_0716,30.0496546,31.2265623,Giza,3,2,365
J_0717,30.2236907,31.2181556,Giza,3,2,366
J_0718,30.0750713,31.2223698,Giza,3,2,367
J_0719,30.0258765,31.2164681,Giza,3,2,368
J_0720,29.9889805,31.1284802,Giza,3,2,369
J_0721,30.0280993,31.2039144,Giza,3,2,370
J_0722,30.0860829,31.2217956,Giza,3,2,371
J_0723,30.0770581,31.221011,Giza,3,2,372
J_0724,30.0771228,31.2209324,Giza,3,2,373
J_0725,30.0751731,31.2222634,Giza,3,2,374
J_0726,30.0909386,31.2194154,Giza,3,2,375
J_0727,29.9779967,31.191532,Giza,3,2,376
J_0728,29.9814233,31.1902657,Giza,3,2,377
J_0729,30.0307019,31.2296573,Giza,3,2,378
J_0730,30.0182312,31.2281077,Giza,3,2,379
J_0731,30.0243223,31.229478,Giza,3,2,380
J_0732,30.1819881,31.1714356,Giza,3,2,381
J_0733,30.030285,31.2125853,Giza,3,2,382
J_0734,30.0304196,31.2125539,Giza,3,2,383
J_0735,30.0361178,31.2116701,Giza,3,2,384
J_0736,30.0133685,31.2224505,Giza,3,2,385
J_0737,30.0469051,31.2115593,Giza,3,2,386
J_0738,30.0280256,31.2040116,Giza,3,2,387
J_0739,29.9307684,31.0419164,Giza,3,2,388
J_0740,29.9815171,31.2109801,Giza,3,2,389
J_0741,29.9398708,31.1953555,Giza,3,2,390
J_0742,29.9815934,31.2122166,Giza,3,2,391
J_0743,30.0506941,31.1697632,Giza,3,2,392
J_0744,30.2282756,31.1497787,Giza,3,2,393
J_0745,30.2418635,31.1562656,Giza,3,2,394
J_0746,30.1997017,31.1350932,Giza,3,2,395
J_0747,30.2091216,31.1450456,Giza,3,2,396
J_0748,30.1946605,31.1263174,Giza,3,2,397
J_0749,30.0258789,31.2165551,Giza,3,2,398
J_0750,29.9756439,31.2165217,Giza,3,2,399
J_0751,30.0001035,31.2142811,Giza,3,2,400
J_0752,30.0191586,31.2038565,Giza,3,2,401
J_0753,30.0144297,31.2097604,Giza,3,2,402
J_0754,29.999158,31.1673565,Giza,3,2,403
J_0755,30.0400029,31.1718128,Giza,3,2,404
J_0756,30.0192714,31.1679566,Giza,3,2,405
J_0757,30.015053,31.2041571,Giza,3,2,406
